question,answer
What is the difference between `==` and `===` operators in JavaScript?,"The `==` operator checks for equality after type coercion, while `===` checks for strict equality without type coercion."
How can you prevent a JavaScript function from being called multiple times simultaneously?,You can use a flag variable or a locking mechanism like a semaphore to ensure mutual exclusion while the function is executing.
What is a closure in JavaScript?,"A closure is a combination of a function bundled together with references to its surrounding state, allowing it to retain access to variables from its lexical scope even after that scope has closed."
How do you handle errors in asynchronous JavaScript code?,You can use try-catch blocks or handle errors with promise `.catch()` methods in asynchronous JavaScript code.
What are some ways to improve the performance of JavaScript code?,"Strategies include minimizing DOM manipulation, optimizing loops, caching variables, using event delegation, and employing asynchronous programming techniques."
"What are the differences between `let`, `const`, and `var` in JavaScript?","`let` and `const` are block-scoped and `const` variables cannot be reassigned, while `var` is function-scoped and allows redeclaration and reassignment."
How can you deep clone an object in JavaScript?,"You can use methods like `JSON.parse(JSON.stringify(object))`, third-party libraries like Lodash's `cloneDeep()`, or manually iterate through the object's properties and clone them."
What is event bubbling and event capturing in JavaScript?,"Event bubbling is the propagation of events from the target element up to the document, while event capturing is the opposite, starting from the document down to the target element."
How do you check if a variable is an array in JavaScript?,You can use `Array.isArray(variable)` method to determine if a variable is an array.
What is the purpose of the `use strict` directive in JavaScript?,"`use strict` is a directive that enables strict mode, which catches common coding errors and prevents the use of certain unsafe features in JavaScript."
What is React?,"React is a JavaScript library for building user interfaces, developed by Facebook."
What are the key features of React?,"Key features include virtual DOM for performance optimization, component-based architecture, JSX for declarative UI, and uni-directional data flow."
What is JSX in React?,"JSX is a syntax extension for JavaScript that allows mixing HTML-like code within JavaScript code, used to describe the UI in React components."
What are React components?,"React components are reusable and independent pieces of UI, encapsulating both the UI and the logic to manage it."
What is state in React?,State is an internal data storage mechanism used by React components to keep track of their own data.
What is props in React?,Props (short for properties) are a way of passing data from parent to child components in React.
What is the difference between state and props in React?,"State is managed within a component and can be updated by that component, while props are passed from parent to child components and are immutable within the child."
What is a React lifecycle?,"React lifecycle refers to the series of methods that are invoked in the process of creating, updating, and destroying a component."
What are controlled components in React?,"Controlled components are React components whose form elements are fully controlled by React via state, enabling dynamic control over form inputs."
